Office_Level_ID,Office_Level_Name,Office_Name,Office_ID,Parent_Office_Id,Parent_Office_Name,Office_District_Id,Office_District_Name,Parent_district_Id,Parent_District_Name,Office_Address,Office_Short_Name,DT_updated,DT_created/date,DT_created/timezone_type,DT_created/timezone,Org_Office_Type,Office_Type_Id,DT_updated/date,DT_updated/timezone_type,DT_updated/timezone
3,Block,"JEn. - Hq., Sanganer Rural",3013889,3013214,Public Health Engineering,50016,Jaipur,50016,Jaipur,v-sameja kothi,"JEn., Sanganer Rural",,2017-11-15 15:14:26.000000,3,Asia/Kolkata,JEn Chowki,604,2023-09-08 12:09:08.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Tijara",3019605,3005986,Public Health Engineering,50002,Alwar,50016,Jaipur,,"AEN,PHED,Sub Divi. Tijara",,2018-02-07 14:47:57.000000,3,Asia/Kolkata,Sub Division,582,2022-02-07 11:35:13.000000,3,Asia/Kolkata
6,District,"Office of Superintending Engineer, Public Health Engineering Department, Project Circle, Churu",3005957,3005935,Public Health Engineering,50011,Churu,50016,Jaipur,,"SEPC, PHED, Churu",,2017-06-16 13:01:29.000000,3,Asia/Kolkata,Circle Office,386,2020-08-17 15:54:43.000000,3,Asia/Kolkata
6,District,"Office of Superintending Engineer, Public Health Engineering Department, Circle Tonk",3006193,3005940,Public Health Engineering,50032,Tonk,50016,Jaipur,,"SE, PHED, Tonk",,2017-06-21 15:27:30.000000,3,Asia/Kolkata,Circle Office,386,2024-09-27 11:46:15.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Drilling-V, Jaipur",3013238,3006096,Public Health Engineering,50016,Jaipur,50016,Jaipur,,"AEN, PHED, Sub Divi. Drilling-V, Jaipur",,2017-11-09 12:39:20.000000,3,Asia/Kolkata,Sub Division,582,2020-09-25 12:34:21.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division City (P&D), Beawar",3006880,3005976,Public Health Engineering,50036,Beawar,50016,Jaipur,,"AEN, PHED, Sub Divi. (P&D), Beawar",,2017-07-17 13:47:28.000000,3,Asia/Kolkata,Sub Division,582,2024-06-21 10:36:48.000000,3,Asia/Kolkata
1,State,Chief Engineer (JICA) Jaipur,3065294,3001397,Public Health Engineering,50016,Jaipur,50016,Jaipur,,"CE (JICA), Jaipur",,2024-09-27 12:29:33.000000,3,Asia/Kolkata,State,1339,2024-10-04 11:58:20.000000,3,Asia/Kolkata
6,District,"Office of Superintending Engineer, Public Health Engineering Department, Circle Bhilwara",3005950,3005929,Public Health Engineering,50007,Bhilwara,50016,Jaipur,,"SEO,PHED, Bhilwara",,2017-06-16 12:08:04.000000,3,Asia/Kolkata,Circle Office,386,2021-01-15 11:27:02.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Baytoo",3019414,3006139,Public Health Engineering,50005,Barmer,50016,Jaipur,,"AEN, PHED, Sub Divi. Baytoo",,2018-02-02 12:25:43.000000,3,Asia/Kolkata,Sub Division,582,2020-08-20 16:08:00.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Nawa",3019696,3006261,Public Health Engineering,50038,Didwana-Kuchaman,50016,Jaipur,,"AEN, PHED, Sub Divi. Nawa",,2018-02-08 16:34:53.000000,3,Asia/Kolkata,Sub Division,582,2024-06-21 16:02:20.000000,3,Asia/Kolkata
7,Division,"Office of Junior Chemist Laboratory PHED, Banswara",3020306,3020301,Public Health Engineering,50003,Banswara,50016,Jaipur,,"PHED Laboratory, Banswara",,2018-02-20 12:48:36.000000,3,Asia/Kolkata,Laboratory,468,2021-02-05 12:48:18.000000,3,Asia/Kolkata
7,Division,"Office of Junior Chemist Laboratory PHED, Dausa",3020315,3020301,Public Health Engineering,50012,Dausa,50016,Jaipur,,"PHED Laboratory, Dausa",,2018-02-20 15:27:55.000000,3,Asia/Kolkata,Laboratory,468,2021-02-05 13:05:41.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Gangrar",3058797,3006159,Public Health Engineering,50010,Chittorgarh,50016,Jaipur,,Assistant Engineer Sub div Gangrar,,2023-04-28 13:39:45.000000,3,Asia/Kolkata,Sub Division,582,2024-08-23 12:23:21.000000,3,Asia/Kolkata
3,Block,"Office of Executive Engineer, Public Health Engineering Department, Division Dungarpur",3006108,3006107,Public Health Engineering,50014,Dungarpur,50016,Jaipur,,"EEDn., PHED, Div. Dungarpur",,2017-06-20 17:55:15.000000,3,Asia/Kolkata,Division,584,2020-10-07 14:45:55.000000,3,Asia/Kolkata
1,State,"Chief Engineer (Urban & NRW), Jaipur",3005597,3001397,Public Health Engineering,50016,Jaipur,50016,Jaipur,,CE (U&NRW),,2017-04-13 12:50:21.000000,3,Asia/Kolkata,State,1339,2024-10-04 12:10:44.000000,3,Asia/Kolkata
6,District,"Office of Executive Engineer, Public Health Engineering Department, Project Division-II Jaipur",3035987,3005970,Public Health Engineering,50016,Jaipur,50016,Jaipur,,"EEPDn-II, PHED Jaipur",,2020-12-17 14:55:03.000000,3,Asia/Kolkata,Division,584,2022-01-21 14:11:54.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Rural, Kishangarh",3006920,3005977,Public Health Engineering,50001,Ajmer,50016,Jaipur,,"AEN, PHED, Sub Divi. Rural, Kishangarh",,2017-07-17 17:20:56.000000,3,Asia/Kolkata,Sub Division,582,2020-10-01 10:58:19.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division-I, Chaksu",3013210,3006094,Public Health Engineering,50016,Jaipur,50016,Jaipur,,"AEN, PHED, Sub Divi. Chaksu",,2017-11-08 16:44:28.000000,3,Asia/Kolkata,Sub Division,582,2020-09-30 14:46:12.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division City, Nagaur",3019704,3006264,Public Health Engineering,50024,Nagaur,50016,Jaipur,,"AEN, PHED, Sub Divi. Nagaur",,2018-02-08 16:39:58.000000,3,Asia/Kolkata,Sub Division,582,2020-10-05 10:53:58.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Anandpuri",3019405,3006114,Public Health Engineering,50003,Banswara,50016,Jaipur,,"AEN, PHED, Sub Divi. Anandpuri",,2018-02-02 12:05:08.000000,3,Asia/Kolkata,Sub Division,582,2020-08-20 14:06:41.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Chhoti Sadri",3019766,3006277,Public Health Engineering,50026,Pratapgarh,50016,Jaipur,,"AEN, PHED, Sub Divi. Chhoti Sadri",,2018-02-09 14:59:23.000000,3,Asia/Kolkata,Sub Division,582,2020-08-24 13:36:41.000000,3,Asia/Kolkata
3,Block,"Office of Executive Engineer, Public Health Engineering Department,  Division Nathdwara",3064958,3006185,Public Health Engineering,50027,Rajsamand,50016,Jaipur,,"XEN, PHED, Divi. Nathdwara",,2024-09-03 14:19:08.000000,3,Asia/Kolkata,Division,584,,,
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division City, Merta City",3019700,3006263,Public Health Engineering,50024,Nagaur,50016,Jaipur,,"AEN, PHED, Sub Divi. Merta City",,2018-02-08 16:37:49.000000,3,Asia/Kolkata,Sub Division,582,2020-10-05 10:52:42.000000,3,Asia/Kolkata
6,District,"Office of Superintending Engineer, Public Health Engineering Department, Rural Design Jaipur",3005965,3005599,Public Health Engineering,50016,Jaipur,50016,Jaipur,,"SE (Rural Design), PHED, Jaipur",,2017-06-16 15:06:11.000000,3,Asia/Kolkata,Circle Office,386,2020-08-18 11:11:38.000000,3,Asia/Kolkata
3,Block,"Office of Executive Engineer, Public Health Engineering Department, Project Division Gulabpura",3006004,3005952,Public Health Engineering,50007,Bhilwara,50016,Jaipur,,"EEPDn., PHED, Gulabpura",,2017-06-19 12:55:16.000000,3,Asia/Kolkata,Division,584,2020-08-18 12:38:18.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Nasirabad",3006917,3005975,Public Health Engineering,50001,Ajmer,50016,Jaipur,,"AEN,PHED,Sub Divi. Nasirabad",,2017-07-17 17:17:10.000000,3,Asia/Kolkata,Sub Division,582,2020-09-30 10:55:26.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Sultanpur",3007308,3006254,Public Health Engineering,50023,Kota,50016,Jaipur,,"AEN, PHED, Sub Divi. Sultanpur",,2017-07-26 12:19:55.000000,3,Asia/Kolkata,Sub Division,582,2020-08-24 11:46:17.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Production, Distribution & Workshop- XIII, Bikaner",3019482,3006016,Public Health Engineering,50008,Bikaner,50016,Jaipur,,"AEN, PHED, Sub Divi. PD&W-XIII, Bikaner",,2018-02-05 15:53:33.000000,3,Asia/Kolkata,Sub Division,582,2020-10-05 12:31:00.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Pindwara",3019878,3006295,Public Health Engineering,50030,Sirohi,50016,Jaipur,,"AEN, PHED, Sub Divi. Pindwara",,2018-02-12 17:14:59.000000,3,Asia/Kolkata,Sub Division,582,2020-08-24 14:39:16.000000,3,Asia/Kolkata
7,Division,"Office of Junior Chemist Laboratory PHED, Nagaur",3020325,3020301,Public Health Engineering,50024,Nagaur,50016,Jaipur,,"PHED Laboratory, Nagaur",,2018-02-20 15:32:43.000000,3,Asia/Kolkata,Laboratory,468,2021-02-05 13:23:48.000000,3,Asia/Kolkata
1,State,"Office of Mobile Laboratory, Jaipur",3026984,3020301,Public Health Engineering,50016,Jaipur,50016,Jaipur,,"Mobile Lab., Jaipur",,2018-08-13 11:26:49.000000,3,Asia/Kolkata,Laboratory,468,2021-02-05 13:44:06.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division City-I, Sri Ganganagar",3019552,3006047,Public Health Engineering,50031,Sri Ganganagar,50016,Jaipur,,"AEN, PHED, Sub Divi. City-I, Sri Ganganagar",,2018-02-07 11:05:45.000000,3,Asia/Kolkata,Sub Division,582,2020-09-24 17:26:50.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Makrana",3019698,3006262,Public Health Engineering,50038,Didwana-Kuchaman,50016,Jaipur,,"AEN, PHED, Sub Divi. Makrana",,2018-02-08 16:36:33.000000,3,Asia/Kolkata,Sub Division,582,2024-06-21 16:03:49.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division City Chopasani Filtar House, Jodhpur",3019727,3006231,Public Health Engineering,50021,Jodhpur,50016,Jaipur,,"AEN, PHED, Sub Divi. City Chopasani Filtar House, Jodhpur",,2018-02-09 11:23:14.000000,3,Asia/Kolkata,Sub Division,582,2020-10-05 10:23:22.000000,3,Asia/Kolkata
3,Block,"Office of Executive Engineer, Public Health Engineering Department, Project Division Nathdwara",3006281,3006113,Public Health Engineering,50027,Rajsamand,50016,Jaipur,,"EEPDn., PHED Nathdwara",,2017-06-27 10:55:21.000000,3,Asia/Kolkata,Division,584,2020-10-07 15:24:03.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division City-VI (S) Jagatpura, Jaipur",3013092,3006082,Public Health Engineering,50016,Jaipur,50016,Jaipur,,"AEN, PHED, Sub Divi. City-VI Jagatpura",,2017-11-07 16:43:13.000000,3,Asia/Kolkata,Sub Division,582,2020-10-05 12:46:57.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division District, Sanganer",3013214,3006094,Public Health Engineering,50016,Jaipur,50016,Jaipur,,"AEN, PHED, Sub Divi. Sanganer",,2017-11-08 17:03:58.000000,3,Asia/Kolkata,Sub Division,582,2020-10-01 10:35:43.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Production Distribution-V (Shobhasar), Bikaner",3019472,3006015,Public Health Engineering,50008,Bikaner,50016,Jaipur,,"AEN, PHED, Sub Divi. P&D-V (Shobhasar), Bikaner",,2018-02-05 15:33:35.000000,3,Asia/Kolkata,Sub Division,582,2020-10-05 12:13:38.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Project, Bharatpur",3034655,3005997,Public Health Engineering,50006,Bharatpur,50016,Jaipur,,"AEN, PHED, Sub Divi. Project, Bharatpur",,2020-09-03 12:05:27.000000,3,Asia/Kolkata,Sub Division,582,2020-09-30 11:27:44.000000,3,Asia/Kolkata
1,State,Directorate of Engineering Staff Training Institute.,3034224,3001397,Public Health Engineering,50016,Jaipur,50016,Jaipur,,"ESTI, Jaipur",,2020-01-22 11:14:11.000000,3,Asia/Kolkata,Department,382,2024-02-20 16:55:55.000000,3,Asia/Kolkata
3,Block,"Office of Executive Engineer, Public Health Engineering Department, Project Division Phalodi",3006239,3006106,Public Health Engineering,50047,Phalodi,50016,Jaipur,,"EEPDn., PHED Phalodi",,2017-06-22 13:13:05.000000,3,Asia/Kolkata,Division,584,2024-06-21 16:25:00.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Rural Sub Division, Loonkaransar",3019483,3006017,Public Health Engineering,50008,Bikaner,50016,Jaipur,,"AEN, PHED, Sub Divi. Rural, Loonkaransar",,2018-02-05 15:57:39.000000,3,Asia/Kolkata,Sub Division,582,2020-10-05 10:19:59.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division City-IV (N) Panipech, Jaipur",3013026,3006074,Public Health Engineering,50016,Jaipur,50016,Jaipur,,"AEN, PHED, Sub Divi. Panipech, Jaipur",,2017-11-07 12:51:08.000000,3,Asia/Kolkata,Sub Division,582,2020-10-05 12:42:59.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division City Pumping Station, Jodhpur",3019733,3006231,Public Health Engineering,50021,Jodhpur,50016,Jaipur,,"AEN, PHED, Sub Divi. City Pumping Station, Jodhpur",,2018-02-09 11:32:24.000000,3,Asia/Kolkata,Sub Division,582,2020-10-05 10:38:25.000000,3,Asia/Kolkata
9,Region,"Office of Additional Chief Engineer, Public Health Engineering Department, Drilling Region Jaipur",3005938,3005599,Public Health Engineering,50016,Jaipur,50016,Jaipur,,"ACEDR, PHED Jaipur",,2017-06-15 17:54:10.000000,3,Asia/Kolkata,Region Office,452,2020-12-02 14:06:28.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Bari",3019523,3006042,Public Health Engineering,50013,Dholpur,50016,Jaipur,,"AEN,PHED,Sub Divi. Bari",,2018-02-06 14:52:35.000000,3,Asia/Kolkata,Sub Division,582,2020-08-21 12:25:31.000000,3,Asia/Kolkata
3,Block,"Office of Executive Engineer, Public Health Engineering Department, Division Jalore",3006208,3006205,Public Health Engineering,50018,Jalore,50016,Jaipur,,"EEDn., PHED Jalore",,2017-06-21 17:34:25.000000,3,Asia/Kolkata,Division,584,2020-10-07 14:46:49.000000,3,Asia/Kolkata
7,Division,Executive Engineer Public Health engineering Department City Division II Ajmer,3019410,3001397,Public Health Engineering,50001,Ajmer,50016,Jaipur,,Executive Engineer PHED City Division II Ajmer,,2018-02-02 12:18:32.000000,3,Asia/Kolkata,Division,584,2022-06-06 11:21:41.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division City, Dungarpur",3019528,3006108,Public Health Engineering,50014,Dungarpur,50016,Jaipur,," AEN, PHED, Sub Divi. City, Dungarpur",,2018-02-06 15:03:08.000000,3,Asia/Kolkata,Sub Division,582,2020-10-05 10:47:36.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division City-I (S) Jawahar Nagar, Jaipur",3013039,3006075,Public Health Engineering,50016,Jaipur,50016,Jaipur,,"AEN, PHED, Sub Divi.Jawahar Nagar",,2017-11-07 13:16:05.000000,3,Asia/Kolkata,Sub Division,582,2020-09-24 17:25:16.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Rural, Rawatsar",3019616,3006053,Public Health Engineering,50015,Hanumangarh,50016,Jaipur,,"AEN, PHED, Sub Divi. Rural., Rawatsar",,2018-02-07 15:21:55.000000,3,Asia/Kolkata,Sub Division,582,2020-10-01 10:48:34.000000,3,Asia/Kolkata
6,District,"Office of Executive Engineer, Public Health Engineering Department, City Division-II (North), Mistri Khana, Jaipur",3006077,3005966,Public Health Engineering,50016,Jaipur,50016,Jaipur,,"EECDn-II (North), Mistri Khana, Jaipur",,2017-06-20 15:22:06.000000,3,Asia/Kolkata,Division,584,2020-09-09 12:12:26.000000,3,Asia/Kolkata
6,District,"Office of Superintending Engineer, Public Health Engineering Department, Circle Sikar",3006191,3005940,Public Health Engineering,50029,Sikar,50016,Jaipur,,"SEO, PHED, Sikar",,2017-06-21 15:18:56.000000,3,Asia/Kolkata,Circle Office,386,2020-08-17 17:08:17.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Nechhwa (Sikar)",3013229,3034232,Public Health Engineering,50029,Sikar,50016,Jaipur,,"AEN, PHED, Sub Division Nechhwa (Sikar)",,2017-11-09 12:05:25.000000,3,Asia/Kolkata,Sub Division,582,2024-08-12 12:22:31.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Sadulshahar",3019559,3006048,Public Health Engineering,50031,Sri Ganganagar,50016,Jaipur,,"AEN, PHED, Sub Divi. Sadulshahar",,2018-02-07 11:23:53.000000,3,Asia/Kolkata,Sub Division,582,2020-08-24 16:50:50.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Anoopgarh",3019560,3006049,Public Health Engineering,50034,Anoopgarh,50016,Jaipur,,"AEN, PHED, Sub Divi. Anoopgarh",,2018-02-07 11:25:44.000000,3,Asia/Kolkata,Sub Division,582,2024-03-28 10:05:16.000000,3,Asia/Kolkata
3,Block,"Office of Executive Engineer, Public Health Engineering Department, Rural Division-I, Alwar (NCR)",3005983,3005945,Public Health Engineering,50002,Alwar,50016,Jaipur,,"EERDn.-I, PHED, Alwar (NCR)",,2017-06-19 11:19:27.000000,3,Asia/Kolkata,Division,584,2020-09-24 16:43:38.000000,3,Asia/Kolkata
3,Block,"Office of Executive Engineer, Public Health Engineering Department, Division Jhalawar",3006200,3006083,Public Health Engineering,50019,Jhalawar,50016,Jaipur,,"EEDn., PHED, Jhalawar",,2017-06-21 16:48:40.000000,3,Asia/Kolkata,Division,584,2021-02-05 16:50:33.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division City, Churu",3019565,3006023,Public Health Engineering,50011,Churu,50016,Jaipur,,"AEN, PHED, Sub Divi. City Churu",,2018-02-07 11:39:16.000000,3,Asia/Kolkata,Sub Division,582,2020-10-05 10:45:20.000000,3,Asia/Kolkata
7,Division,"Office of Junior Chemist Laboratory PHED, Dholpur",3020316,3020301,Public Health Engineering,50013,Dholpur,50016,Jaipur,,"PHED Laboratory,  Dholpur",,2018-02-20 15:28:24.000000,3,Asia/Kolkata,Laboratory,468,2021-02-05 13:06:40.000000,3,Asia/Kolkata
3,Block,"Office of Executive Engineer, Public Health Engineering Department, Division Sojat City",3006275,3006176,Public Health Engineering,50025,Pali,50016,Jaipur,,"EE, PHED Div. Sojat City",,2017-06-23 11:27:11.000000,3,Asia/Kolkata,Division,584,2020-09-07 17:33:08.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Nadbai",3019459,3005999,Public Health Engineering,50006,Bharatpur,50016,Jaipur,,"AEN, PHED, Sub Divi. Nadbai",,2018-02-05 12:57:28.000000,3,Asia/Kolkata,Sub Division,582,2020-08-20 16:35:52.000000,3,Asia/Kolkata
6,District,"Office of Superintending Engineer, Public Health Engineering Department, Project Circle Bharatpur",3006190,3005932,Public Health Engineering,50006,Bharatpur,50016,Jaipur,,"SEO,PHED,Proj Circle, Bhartapur",,2017-06-21 13:33:05.000000,3,Asia/Kolkata,Circle Office,386,2020-08-17 13:33:24.000000,3,Asia/Kolkata
3,Block,"Office of Executive Engineer, Public Health Engineering Department, Division Sikar",3006293,3006191,Public Health Engineering,50029,Sikar,50016,Jaipur,,"EEdn., PHED, Sikar",,2017-06-27 11:54:33.000000,3,Asia/Kolkata,Division,584,2021-02-08 10:52:32.000000,3,Asia/Kolkata
3,Block,"Office of Executive Engineer, Public Health Engineering Department, Division Bandikui",3062659,3005958,Public Health Engineering,50012,Dausa,50016,Jaipur,,"EE, PHED Div. Bandikui",,2024-05-16 13:57:48.000000,3,Asia/Kolkata,Division,584,,,
3,Block,"Office of Executive Engineer, Public Health Engineering Department, Division Sirohi",3006295,3006192,Public Health Engineering,50030,Sirohi,50016,Jaipur,,"EEDn., PHED Sirohi",,2017-06-27 12:04:56.000000,3,Asia/Kolkata,Division,584,2020-10-07 14:53:37.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Drilling, Sirohi",3028003,3006270,Public Health Engineering,50030,Sirohi,50016,Jaipur,,"AEN, PHED, Sub Divi. Drilling, Sirohi",,2018-09-05 17:06:34.000000,3,Asia/Kolkata,Sub Division,582,2020-09-25 10:56:43.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division District Rural, Bajju",3019491,3006018,Public Health Engineering,50008,Bikaner,50016,Jaipur,,"AEN, PHED, Sub Divi. District Rural, Bajju",,2018-02-05 16:13:23.000000,3,Asia/Kolkata,Sub Division,582,2020-09-25 10:22:39.000000,3,Asia/Kolkata
1,State,"Chief Engineer (Project), Jodhpur",3005602,3001397,Public Health Engineering,50021,Jodhpur,50016,Jaipur,,"CE(Project), Jodhpur",,2017-04-13 12:55:36.000000,3,Asia/Kolkata,State,1339,2024-10-04 12:12:14.000000,3,Asia/Kolkata
3,Block,"Office of Executive Engineer, Public Health Engineering Department, Division Chittorgarh",3006159,3006157,Public Health Engineering,50010,Chittorgarh,50016,Jaipur,,"EEDn., PHED, Div. Chittorgarh",,2017-06-21 12:25:01.000000,3,Asia/Kolkata,Division,584,2020-10-07 14:44:23.000000,3,Asia/Kolkata
3,Block,"Office of Assistant Engineer, Public Health Engineering Department, Sub Division Kishanganj",3007485,3006120,Public Health Engineering,50004,Baran,50016,Jaipur,,"AEN,PHED,Sub Divi. Kishanganj",,2017-07-28 12:40:52.000000,3,Asia/Kolkata,Sub Division,582,2020-08-20 14:59:23.000000,3,Asia/Kolkata
